# Aerial survey indices for selected spawning areas in the U.S. (alaska) portion of the Yukon River Drainage,,,,,,,,,,,,,,,,,,
# Overview of site and methods at XYZ,,,,,,,,,,,,,,,,,,
# Year = Run year,,,,,,,,,,,,,,,,,,
# Estimate = run size,,,,,,,,,,,,,,,,,,
# SE = Standard Error calculated based on INSERT,,,,,,,,,,,,,,,,,,
# p10 and p90 = 10th abd 90th percentiles of the ?posterior distribution?,,,,,,,,,,,,,,,,,,
Project,Type,Year,Estimate,SE,p10,p90,Use,UseNotes,SurveyRatingTotalCount,TotalCount,SurveyRatingStandardCount,StandardCount,MainstemIndex,Multiple,Notes,Stage,Method,Agency
AndreafskyEastAerial,Aerial,1961,1003,NA,NA,NA,TRUE,TBI,Fair/Good,1003,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1962,675,NA,NA,NA,FALSE,???,Fair/Good,675,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1963,NA,NA,NA,NA,NA,TBI,NA,NA,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1964,867,NA,NA,NA,TRUE,TBI,Fair/Good,867,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1965,NA,NA,NA,NA,NA,TBI,NA,NA,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1966,361,NA,NA,NA,TRUE,TBI,Fair/Good,361,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1967,NA,NA,NA,NA,NA,TBI,NA,NA,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1968,383,NA,NA,NA,TRUE,TBI,Fair/Good,383,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1969,274,NA,NA,NA,TRUE,TBI,Fair/Good,274,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1970,665,NA,NA,NA,FALSE,???,Fair/Good,665,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1971,1904,NA,NA,NA,TRUE,TBI,Fair/Good,1904,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1972,798,NA,NA,NA,TRUE,TBI,Fair/Good,798,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1973,825,NA,NA,NA,TRUE,TBI,Fair/Good,825,,NA,NA,TRUE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1974,NA,NA,NA,NA,NA,TBI,NA,NA,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1975,993,NA,NA,NA,TRUE,TBI,Fair/Good,993,,NA,NA,TRUE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1976,818,NA,NA,NA,TRUE,TBI,Fair/Good,818,,NA,NA,TRUE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1977,2008,NA,NA,NA,TRUE,TBI,Fair/Good,2008,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1978,2487,NA,NA,NA,TRUE,TBI,Fair/Good,2487,,NA,NA,TRUE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1979,1180,NA,NA,NA,TRUE,TBI,Fair/Good,1180,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1980,958,NA,NA,NA,FALSE,Poor,Poor,958,,NA,NA,TRUE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1981,2146,NA,NA,NA,FALSE,???,Fair/Good,2146,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1982,1274,NA,NA,NA,TRUE,TBI,Fair/Good,1274,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1983,NA,NA,NA,NA,NA,TBI,NA,NA,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1984,1573,NA,NA,NA,FALSE,???,Fair/Good,1573,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1985,1617,NA,NA,NA,TRUE,TBI,Fair/Good,1617,,NA,NA,TRUE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1986,1954,NA,NA,NA,TRUE,TBI,Fair/Good,1954,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1987,1608,NA,NA,NA,TRUE,TBI,Fair/Good,1608,,NA,NA,TRUE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1988,1020,NA,NA,NA,TRUE,TBI,Fair/Good,1020,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1989,1399,NA,NA,NA,TRUE,TBI,Fair/Good,1399,,NA,NA,TRUE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1990,2503,NA,NA,NA,TRUE,TBI,Fair/Good,2503,,NA,NA,TRUE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1991,1938,NA,NA,NA,TRUE,TBI,Fair/Good,1938,,NA,NA,TRUE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1992,1030,NA,NA,NA,FALSE,Poor,Poor,1030,,NA,NA,TRUE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1993,5855,NA,NA,NA,TRUE,TBI,Fair/Good,5855,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1994,300,NA,NA,NA,FALSE,Incomplete,Incomplete,300,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1995,1635,NA,NA,NA,TRUE,TBI,Fair/Good,1635,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1996,NA,NA,NA,NA,NA,TBI,NA,NA,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1997,1140,NA,NA,NA,TRUE,TBI,Fair/Good,1140,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1998,1027,NA,NA,NA,TRUE,TBI,Fair/Good,1027,,NA,NA,TRUE,,NA,NA,NA
AndreafskyEastAerial,Aerial,1999,NA,NA,NA,NA,NA,TBI,NA,NA,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,2000,1018,NA,NA,NA,TRUE,TBI,Undefined,1018,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,2001,1059,NA,NA,NA,TRUE,TBI,Fair/Good,1059,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,2002,1447,NA,NA,NA,TRUE,TBI,Fair/Good,1447,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,2003,1116,NA,NA,NA,FALSE,???,Fair/Good,1116,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,2004,2879,NA,NA,NA,TRUE,TBI,Fair/Good,2879,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,2005,1715,NA,NA,NA,TRUE,TBI,Fair/Good,1715,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,2006,591,NA,NA,NA,FALSE,Incomplete,Incomplete,591,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,2007,1758,NA,NA,NA,TRUE,TBI,Fair/Good,1758,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,2008,278,NA,NA,NA,FALSE,Poor,Poor,278,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,2009,84,NA,NA,NA,FALSE,Poor,Poor,84,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,2010,537,NA,NA,NA,FALSE,Poor,Poor,537,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,2011,620,NA,NA,NA,TRUE,TBI,Fair/Good,620,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,2012,NA,NA,NA,NA,NA,TBI,NA,NA,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,2013,1441,NA,NA,NA,TRUE,TBI,Fair/Good,1441,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,2014,NA,NA,NA,NA,NA,TBI,NA,NA,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,2015,2167,NA,NA,NA,FALSE,Poor,Poor,2167,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,2016,NA,NA,NA,NA,NA,TBI,NA,NA,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,2017,NA,NA,NA,NA,NA,TBI,NA,NA,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,2018,746,NA,NA,NA,TRUE,TBI,Fair/Good,746,,NA,NA,FALSE,,NA,NA,NA
AndreafskyEastAerial,Aerial,2019,1547,NA,NA,NA,TRUE,TBI,Fair/Good,1547,,NA,NA,FALSE,,NA,NA,NA
AndreafskyWestAerial,Aerial,1961,NA,NA,NA,NA,FALSE,???,NA,NA,,NA,NA,FALSE,,NA,NA,NA
AndreafskyWestAerial,Aerial,1962,762,NA,NA,NA,FALSE,Poor,Poor,762,,NA,NA,FALSE,,NA,NA,NA
AndreafskyWestAerial,Aerial,1963,NA,NA,NA,NA,FALSE,???,NA,NA,,NA,NA,FALSE,,NA,NA,NA
AndreafskyWestAerial,Aerial,1964,705,NA,NA,NA,TRUE,TBI,Fair/Good,705,,705,NA,FALSE,,NA,NA,NA
AndreafskyWestAerial,Aerial,1965,344,NA,NA,NA,FALSE,Poor,Poor,344,,NA,NA,FALSE,,NA,NA,NA
AndreafskyWestAerial,Aerial,1966,303,NA,NA,NA,TRUE,TBI,Fair/Good,303,,303,NA,FALSE,,NA,NA,NA
AndreafskyWestAerial,Aerial,1967,276,NA,NA,NA,FALSE,Poor,Poor,276,,NA,NA,TRUE,,NA,NA,NA
